City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
399,fort irwin,35.2627,-116.6848,296.89,33,0,3.09,US,1694929244
400,mertola,37.6592,-7.6643,290.25,85,99,3.51,PT,1694929245
401,qandala,11.472,49.8728,306.02,57,69,2.22,SO,1694929245
402,saint-pierre,-21.3393,55.4781,297.97,61,75,3.6,RE,1694928963
403,juan griego,11.0817,-63.9655,301.22,89,18,4.63,VE,1694929247
404,chernomorskoye,45.5039,32.6997,292.5,56,0,6.04,UA,1694929249
405,pekanbaru,0.5333,101.45,304.33,62,40,5.14,ID,1694929249
406,mata-utu,-13.2816,-176.1745,300.42,80,54,9.31,WF,1694929249
407,senillosa,-39.0,-68.4167,281.03,42,5,10.58,AR,1694929250
408,twon-brass,4.3151,6.2418,299.1,84,100,5.67,NG,1694929250
409,patterson,37.4716,-121.1297,292.38,74,0,0.87,US,1694929250
410,forster,-32.1667,152.5167,295.83,56,0,4.09,AU,1694929102
411,darwin,-12.4611,130.8418,305.02,31,0,8.75,AU,1694929252
412,juquitiba,-23.9317,-47.0683,296.69,61,0,1.72,BR,1694929252
413,murghob,38.1702,73.9667,285.37,26,1,1.22,TJ,1694929252
414,bopolu,7.0667,-10.4875,295.06,99,99,0.59,LR,1694929253
415,hammerfest,70.6634,23.6821,278.4,87,75,2.57,NO,1694929253
416,i-n-salah,27.1935,2.4607,303.19,12,10,6.66,DZ,1694929253
417,petauke,-14.2426,31.3253,298.53,27,2,2.88,ZM,1694929219
418,coxen hole,16.3244,-86.5366,301.75,84,20,4.12,HN,1694929254
419,shenkursk,62.1091,42.896,285.68,69,100,4.43,RU,1694929254
420,deqen,29.9618,90.7188,290.85,42,64,3.43,CN,1694929255
421,birao,10.2849,22.7882,297.19,85,86,1.72,CF,1694929255
422,yaren,-0.5472,166.916,302.33,69,21,4.4,NR,1694929256
423,gereida,11.2811,25.1414,299.22,67,81,2.51,SD,1694929256
424,cozumel,20.5083,-86.9458,298.68,94,6,3.6,MX,1694929058
425,port moresby,-9.4431,147.1797,301.83,54,40,7.72,PG,1694929256
426,hobyo,5.3505,48.5268,300.61,69,80,10.11,SO,1694929257
427,afaahiti,-17.75,-149.2833,298.08,88,85,7.32,PF,1694929257
